pays;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Total;96611;95032;92330;89830;92608;94483;96664;110087;115847;120057;139402;141889;135894;134987;143996;157544;177148;193216;197520;168998;183436;184540;277544;298394;252505;243772;266137;265572;273389;276058;273767
Europe;77339;74802;74099;72340;75203;77312;78188;87544;92185;97235;110515;115861;109874;110972;118068;127901;141951;155978;157502;133095;143778;145456;173350;213618;170754;159079;150992;158806;172466;165107;154227
UE;71024;68056;67840;65027;68192;71156;71212;78907;83210;88370;98031;102451;101205;103734;110694;119451;132444;145602;148514;125560;135057;137626;156341;143680;135909;125631;129680;137289;144754;147047;136209
Germany;32529;31134;30880;29248;30407;31855;30350;33285;35316;37251;40584;42744;41843;42738;46342;49732;56181;62916;65776;55013;58570;59517;60380;55624;54556;49872;51075;54542;56566;57191;53249
Austria;3807;3648;3608;3653;3811;3995;3836;4152;4579;4691;4945;5080;5457;5663;6086;7220;7612;8091;7912;7218;7934;7981;7870;8073;8885;7492;7800;7883;8317;8453;8423
Belgium;3469;3285;3564;3217;3500;3350;3411;4055;3921;3426;4145;4238;3945;4031;4250;4794;5629;5912;6252;4763;5127;5695;7955;5616;4612;4631;4801;4961;5085;5496;3778
Spain;1175;1234;1260;1230;1312;1358;1588;1782;1951;2046;2418;2493;2661;3194;3440;3980;4063;4143;3912;3828;4915;5202;6247;5953;4910;4572;5102;5350;5576;6414;7024
France;10708;10345;9987;9814;10174;10762;11165;12092;12585;14419;14246;14555;14576;15298;15107;15804;17706;18329;18639;15730;15600;15897;22747;19719;16654;16360;16378;17914;19735;18919;16454
Ireland;568;529;690;778;887;856;1092;1850;2096;2337;3308;5328;5136;4796;4693;5652;4665;6036;4919;4241;5858;5883;6763;7060;7199;7011;7645;7729;8605;7544;4579
Italy;10158;9491;9248;8785;9160;9573;10375;10813;11187;11626;12950;13315;13569;14076;15848;16530;18705;20845;21671;18074;18699;19198;25970;23061;20710;18764;19469;19819;20806;22235;22200
Netherlands;3966;3899;4115;4052;4333;4338;4577;5728;5803;6077;7894;7650;6713;6556;6990;7552;8322;8831;9022;7648;8312;8028;6391;5940;5579;4971;4974;5221;5403;5523;5072
Poland;114;120;99;106;123;168;157;186;246;269;371;403;480;515;665;818;940;1062;1284;1119;1289;1373;1615;1663;1754;1723;1975;2254;2396;2525;2491
United-Kingdom;5083;5262;5336;6488;6140;5243;6208;7138;7233;6786;8129;8180;6603;5609;5842;6951;6943;8047;7232;6274;7120;6362;13130;64665;30890;31036;18747;19133;25980;16411;15555
Russia;0;0;337;376;498;508;373;1067;1322;1677;3844;4769;1561;1203;1042;1023;1873;1551;1054;726;1041;891;2889;4389;3037;1596;1643;1336;593;452;1257
Sweden;1854;1754;1609;1406;1581;1707;1561;1631;1667;1838;1915;1487;1515;1675;1676;1485;1770;1696;1689;1325;1421;1595;1816;1919;1632;1597;1457;1587;1786;1601;1460
Tchèque,République;0;0;0;159;196;250;268;333;408;462;604;672;848;893;986;1093;1395;1707;1813;1721;2133;2153;2226;2197;2295;2358;2279;2468;2576;2756;2507
Asia;9201;9284;9065;8852;8645;8304;8249;9871;11621;10549;12870;11632;11664;11425;12777;14484;16170;18191;19859;19648;23880;23296;53553;36408;39797;44150;67641;63546;56583;66590;73016
China;419;710;875;1084;1144;1075;1204;1562;1682;1800;2301;2258;2216;2423;2841;3378;3931;4782;4996;5161;6086;6310;10378;11431;12172;12392;12315;13110;14437;15051;16581
United Arab Emirates;55;23;10;14;36;12;23;18;15;57;110;117;375;315;453;641;634;324;444;534;756;496;16274;2971;3037;3701;16085;9883;10169;14948;9488
Hong Kong;902;847;749;802;671;642;617;707;706;656;895;679;1082;917;1099;1674;1456;1185;1440;1142;1636;1750;2811;2009;2836;2610;8180;9229;3833;3802;11310
Japan;4246;4128;3982;3469;3131;2985;2608;3078;3082;3438;3925;3391;2739;2846;3047;2918;3105;3503;4170;3597;3681;4144;4731;3753;3660;3483;3954;5995;4669;4526;4989
Uzbekistan;0;0;8;5;12;8;11;6;5;5;3;10;6;3;2;6;6;3;13;13;34;8;509;1426;1224;1801;2802;3619;2426;2593;6
Singapour;273;159;193;228;250;198;223;186;1066;211;285;317;296;315;326;359;416;478;526;612;865;666;2102;1343;1567;1939;3444;2428;2675;2613;3831
Thailand;375;362;495;518;514;479;552;560;584;542;605;602;613;625;658;723;801;1012;1009;783;881;923;4601;1558;1865;2478;4947;4294;2598;5562;7654
Turkey;236;225;224;215;254;252;275;320;332;374;403;439;465;442;528;617;676;859;847;695;766;774;2240;1363;3323;5770;3011;1581;2380;1656;1799
AmériqueduNord;7126;8156;6894;6158;6005;6227;7262;9109;8631;8340;10895;8928;9412;7899;7947;9151;11952;12419;12572;10591;10776;9706;25229;25400;21075;21124;25206;23181;22800;20118;21605
USA;5921;6971;5866;5581;5704;5843;6846;8657;7963;7701;10288;8382;8945;7357;7254;8328;10937;11211;11439;9759;9828;9163;23926;22661;19597;20095;24111;21280;20875;18883;19833
AmériquecentraleetduSud;1108;1093;1031;1106;1429;1246;1130;1667;1579;1999;2461;2812;2442;1969;1993;2118;2087;2644;2612;2046;2376;2646;13305;11466;10480;10876;12271;9912;9763;10286;9226
Mexico;54;63;44;53;73;94;93;68;140;177;191;169;190;223;185;136;118;169;234;394;493;550;1378;1831;1783;1690;968;1441;1264;933;1031
Peru;30;28;18;17;16;15;13;17;19;19;21;17;15;20;22;23;32;36;55;41;44;47;5101;3137;2642;2963;2938;2689;2257;2283;1704
Africa;1684;1519;1019;1193;1138;1226;1629;1639;1564;1622;2356;2382;2242;2466;2936;3630;4712;3692;4631;3241;2213;2852;11233;10667;9746;7918;9015;8593;10478;12449;13742
AfriqueduSud;594;437;250;271;207;284;360;395;495;419;504;637;637;865;1014;1089;1261;1048;645;1653;762;1354;1936;1728;2175;2183;1117;1234;2272;2813;2347
Oceania;152;177;222;180;188;168;206;257;268;312;304;274;261;255;276;260;276;292;344;377;413;584;874;836;653;624;1013;1533;1299;1510;1951
