Type-cereale;Annee;Surface(ha);Partbio(%);Surfacebio(ha)
Blé;2010;79853;3;2534
Blé;2011;76446;4;2859
Blé;2012;78540;4;3340
Blé;2013;79134;4;3525
Blé;2014;76707;5;3598
Blé;2015;75931;5;3976
Blé;2016;76312;6;4379
Blé;2017;75541;6;4910
Blé;2018;75713;7;5391
Blé;2019;73619;8;6185
Blé;2020;69109;10;6799
Seigle;2010;2248;11;250
Seigle;2011;1928;13;251
Seigle;2012;1771;16;279
Seigle;2013;1861;18;333
Seigle;2014;1899;15;284
Seigle;2015;1890;16;304
Seigle;2016;1985;17;330
Seigle;2017;2004;17;347
Seigle;2018;1855;22;406
Seigle;2019;1905;29;552
Seigle;2020;1798;28;500
Épeautre, autres;2010;4274;21;878
Épeautre, autres;2011;4360;21;935
Épeautre, autres;2012;3903;24;940
Épeautre, autres;2013;3487;27;958
Épeautre, autres;2014;4998;23;1133
Épeautre, autres;2015;5927;21;1264
Épeautre, autres;2016;4963;26;1285
Épeautre, autres;2017;5456;27;1499
Épeautre, autres;2018;6048;29;1730
Épeautre, autres;2019;6611;29;1905
Épeautre, autres;2020;5933;34;1999
Maïs grain;2010;16898;2;392
Maïs grain;2011;15553;2;357
Maïs grain;2012;16162;3;492
Maïs grain;2013;16859;3;551
Maïs grain;2014;15713;4;599
Maïs grain;2015;15322;4;639
Maïs grain;2016;14912;5;781
Maïs grain;2017;15192;8;1188
Maïs grain;2018;15700;11;1692
Maïs grain;2019;16015;13;2138
Maïs grain;2020;17655;15;2580
Orge;2010;28949;2;659
Orge;2011;28336;2;670
Orge;2012;28454;3;752
Orge;2013;28574;3;886
Orge;2014;26818;3;819
Orge;2015;27986;3;952
Orge;2016;28641;3;1000
Orge;2017;28088;4;1191
Orge;2018;27897;4;1109
Orge;2019;26853;4;1058
Orge;2020;27808;4;1162
Avoine;2010;1789;11;195
Avoine;2011;1682;12;194
Avoine;2012;1642;12;200
Avoine;2013;1675;16;260
Avoine;2014;1494;18;267
Avoine;2015;1556;19;289
Avoine;2016;1684;21;352
Avoine;2017;1899;24;448
Avoine;2018;1628;25;414
Avoine;2019;1713;33;569
Avoine;2020;1793;35;635
Triticale;2010;10274;3;295
Triticale;2011;9708;4;347
Triticale;2012;9433;4;391
Triticale;2013;9147;4;359
Triticale;2014;8130;5;416
Triticale;2015;8090;5;394
Triticale;2016;8721;6;532
Triticale;2017;8523;8;687
Triticale;2018;7960;9;731
Triticale;2019;7683;8;605
Triticale;2020;7457;8;561
Céréales f;2010;7057;1;51
Céréales f;2011;7089;1;103
Céréales f;2012;6847;2;151
Céréales f;2013;6517;2;148
Céréales f;2014;6430;2;136
Céréales f;2015;6381;3;166
Céréales f;2016;7408;5;357
Céréales f;2017;6377;10;626
Céréales f;2018;6612;13;843
Céréales f;2019;6715;15;976
Céréales f;2020;9613;9;913
Méteil;2010;170;5;8
Méteil;2011;170;8;14
Méteil;2012;182;24;43
Méteil;2013;207;29;61
Méteil;2014;1137;12;136
Méteil;2015;988;14;135
Méteil;2016;221;27;60
Méteil;2017;245;39;95
Méteil;2018;222;51;112
Méteil;2019;266;42;111
Méteil;2020;256;36;92
